FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TYPE_OF_CROP,Tipo di coltivazione,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TYPE_OF_CROP_EUCODE,Codice Eurostat,NOTE_TYPE_OF_CROP,Tipo di coltivazione (NOTE_TYPE_OF_CROP),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,COMMEAT,Frumento tenero,2025,91220,,,,,,,C1110,C1110,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,COMMEAT,Frumento tenero,2026,91220,,,,,,,C1110,C1110,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PIGWETWINT,Grano invernale e farro,2025,91220,,,,,,,C1111,C1111,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PIGWETWINT,Grano invernale e farro,2026,91220,,,,,,,C1111,C1111,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,WHEATD,Frumento duro,2025,14208,,,,,,,C1120,C1120,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,WHEATD,Frumento duro,2026,14208,,,,,,,C1120,C1120,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ITRSOYEAN,Miscele di segale e cereali invernali,2025,48,,,,,,,C1200,C1200,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ITRSOYEAN,Miscele di segale e cereali invernali,2026,48,,,,,,,C1200,C1200,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,RYE,Segale,2025,48,,,,,,,C1210,C1210,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,RYE,Segale,2026,48,,,,,,,C1210,C1210,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,BARLEY,Orzo,2025,12626,,,,,,,C1300,C1300,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,BARLEY,Orzo,2026,12626,,,,,,,C1300,C1300,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,WNEALY,Orzo invernale,2025,12626,,,,,,,C1310,C1310,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,WNEALY,Orzo invernale,2026,12626,,,,,,,C1310,C1310,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,MXSOASANDS,Miscele di avena e cereali primaverili (grano misto diverso dal maslin),2025,346,,,,,,,C1400,C1400,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,MXSOASANDS,Miscele di avena e cereali primaverili (grano misto diverso dal maslin),2026,346,,,,,,,C1400,C1400,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,OATS,Avena,2025,346,,,,,,,C1410,C1410,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,OATS,Avena,2026,346,,,,,,,C1410,C1410,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,MAIZE,Mais,2025,140425,,,,,,,C1500,C1500,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,MAIZE,Mais,2026,140425,,,,,,,C1500,C1500,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,RICE,Riso,2025,4154,,,,,,,C2000,C2000,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,SORGH,Sorgo,2025,4378,,,,,,,C1700,C1700,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,SORGH,Sorgo,2026,4378,,,,,,,C1700,C1700,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,TITICALE,Triticale,2025,2725,,,,,,,C1600,C1600,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,TITICALE,Triticale,2026,2725,,,,,,,C1600,C1600,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PSEUDOCEREA,Pseudocereali,2025,10,,,,,,,,,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,BUCKWHEAT,Grano saraceno,2025,10,,,,,,,,,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PEAPROT,Pisello proteico,2025,182,,,,,,,P1100_I,P1100_I,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PEAPROT,Pisello proteico,2026,182,,,,,,,P1100_I,P1100_I,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CEREAOG_NO_FORAGENR,'Altri cereali n.c.a. (miglio, scagliola, ecc.)',2025,127,,,,,,,,,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CEREAOG_NO_FORAGENR,'Altri cereali n.c.a. (miglio, scagliola, ecc.)',2026,127,,,,,,,,,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PEAS,Pisello da granella,2025,373,,,,,,,P1100_II,P1100_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PEAS,Pisello da granella,2026,373,,,,,,,P1100_II,P1100_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,BEANK,Fagiolo secco,2025,431,,,,,,,P1200_II,P1200_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,BEANK,Fagiolo secco,2026,431,,,,,,,P1200_II,P1200_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,BROAFIELD,Fava da granella,2025,13,,,,,,,P1200_I,P1200_I,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,BROAFIELD,Fava da granella,2026,14,,,,,,,P1200_I,P1200_I,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,LENTIL,Lenticchia,2025,4,,,,,,,P9100,P9100,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,LENTIL,Lenticchia,2026,1,,,,,,,P9100,P9100,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CHICS,Cece,2025,12,,,,,,,P9200,P9200,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CHICS,Cece,2026,13,,,,,,,P9200,P9200,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,POTA,Patata comune,2025,4022,,,,,,,R1000_II,R1000_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,POTA,Patata comune,2026,4022,,,,,,,R1000_II,R1000_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,BEETS,Barbabietola da zucchero,2025,4734,,,,,,,R2000,R2000,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,SWEEATOES,Batata o patata dolce,2025,201,,,,,,,R9000_I,R9000_I,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,TOBAC,Tabacco,2025,3496,,,,,,,I3000,I3000,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,HOPS,Luppolo,2025,18,,,,,,,I4000,I4000,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,FLAX,Lino,2025,19,,,,,,,I2100,I2100,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,HEMP,Canapa,2025,152,,,,,,,I2200,I2200,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,GROU,Arachide,2025,17,,,,,,,I1910,I1910,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,RAPE,Colza,2025,2128,,,,,,,I1111,I1111,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,RAPE,Colza,2026,2128,,,,,,,I1111,I1111,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,SUNFLO,Girasole,2025,4591,,,,,,,I1120,I1120,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,SUNFLO,Girasole,2026,4592,,,,,,,I1120,I1120,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,OTHOLNOSES,Altre colture di semi oleosi diversi dal sesamo,2025,1176,,,,,,,I1190_II,I1190_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,SOYA,Soia,2025,142693,,,,,,,I1130,I1130,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,SOYA,Soia,2026,142693,,,,,,,I1130,I1130,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PARSNGROPEN,Prezzemolo in piena aria,2025,4,,,,,,,I5000_II,I5000_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CERFORRLEY,Orzo a maturazione cerosa,2025,998,,,,,,,G1100_I,G1100_I,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CEROIS,Mais ceroso,2025,49054,,,,,,,G3000,G3000,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,COMMEGRASS,Loietto,2025,1823,,,,,,,G1100_II,G1100_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,OTHEEHERBA,Altri erbai monofiti,2025,5410,,,,,,,G1100_III,G1100_III,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,GRAM,Graminacee,2025,1385,,,,,,,G1200_I,G1200_I,,,,,,,,,,
